Proptype,Locality,Count,lat,lng,ROI
KONDOMINIUM,"CITY GARDEN, KUALA LUMPUR",125,3.1472153,101.7058085,22.32201031
KONDOMINIUM,"CONCERTO NORTH KIARA, KUALA LUMPUR",15,3.1789066,101.6585448,18.08916163
KONDOMINIUM,"CONDOMINIUM KOJAYA, ULU LANGAT",58,3.159293,101.7578498,20.35147436
KONDOMINIUM,"CONDOMINIUM KRISTAL, PETALING",14,3.0712225,101.4951995,25.57166332
KONDOMINIUM,"CONDOMINIUM RAFFLESIA PHASE 3, KUALA LUMPUR",27,3.1829286,101.6973687,59.89860105
KONDOMINIUM,"CONDOMINIUM SERI HIJAUAN, PETALING",204,3.0324846,101.5707732,37.28516485
KONDOMINIUM,"CONDOMINIUM SERI ISTANA (PALACE COURT), KUALA LUMPUR",64,3.0886519,101.6834155,-13.81629476
KONDOMINIUM,"CONTESSA, KUALA LUMPUR",38,3.13701,101.6636,20.4721657
KONDOMINIUM,"CONTINENTAL HEIGHTS CONDOMINIUM, KUALA LUMPUR",73,3.087797,101.6796668,26.2208509
KONDOMINIUM,"COUNTRY HEIGHT PARADE SERDANG, PETALING",17,2.99354,101.7403132,39.16729204
KONDOMINIUM,"COVA VILLA, PETALING",473,3.1477348,101.573514,19.75182684
KONDOMINIUM,"COVILLEA CONDOMINIUM, KUALA LUMPUR",150,3.0588539,101.6849718,21.87793101
KONDOMINIUM,"CRIMSON COURT, KUALA LUMPUR",11,3.16143,101.7136901,48.86499662
KONDOMINIUM,"CYBERJAYA, SEPANG",1365,2.921318,101.6559349,18.67864576
KONDOMINIUM,"CYBERJAYA (SHAFTSBURY), SEPANG",107,2.9221919,101.6607223,-0.506332019
KONDOMINIUM,"D ALAMANDA (PUDU IMPIAN IV), KUALA LUMPUR",133,3.1206023,101.7307414,32.9582603
KONDOMINIUM,"DAMAI INDAH APARTMENT, KUALA LUMPUR",14,3.0540401,101.7452451,42.44306418
KONDOMINIUM,"DAMAI SURIA, KUALA LUMPUR",15,3.15496,101.72983,-3.332132591
KONDOMINIUM,"DAMANSARA FORESTA, PETALING",47,3.181858,101.611623,17.14550523
KONDOMINIUM,"DAMANSARA VILLA, KUALA LUMPUR",75,3.151078,101.6715229,26.24069028
KONDOMINIUM,"DANAU IDAMAN CONDOMINIUM, KUALA LUMPUR",42,3.0987755,101.6852058,30.0732717
KONDOMINIUM,"DANAU MURNI CONDOMINIUM, KUALA LUMPUR",161,3.0980216,101.6854214,33.48892559
KONDOMINIUM,"DANAU PERMAI, KUALA LUMPUR",193,3.101603,101.688517,32.54396426
KONDOMINIUM,"DATARAN PRIMA, PETALING",201,3.118856,101.5941409,32.12488842
KONDOMINIUM,"DESA ANGKASA, KUALA LUMPUR",69,3.1578183,101.722692,7.68967314
KONDOMINIUM,"DESA BANGSARIA, KUALA LUMPUR",35,3.1393243,101.6643698,15.88468815
KONDOMINIUM,"DESA BESTARI KUALA LUMPUR, KUALA LUMPUR",21,3.1447541,101.6584638,31.519509
KONDOMINIUM,"DESA CAHAYA, KUALA LUMPUR",76,3.1602418,101.7249717,15.69648754
KONDOMINIUM,"DESA CINDAIMAS, KUALA LUMPUR",164,3.0853836,101.6789519,36.94367633
KONDOMINIUM,"DESA DAMANSARA, KUALA LUMPUR",127,3.1522227,101.6473673,24.77708688
KONDOMINIUM,"DESA GEMBIRA, KUALA LUMPUR",176,3.0794809,101.6880829,36.40706205
